Team1,Team2,Venue,Day,Time Slot,Week
Manchester United,Liverpool,Old Trafford,Thursday,16:30-18:30,1
Manchester United,Arsenal,Old Trafford,Friday,19:00-21:00,4
Liverpool,Newcastle United,Etihad Stadium,Tuesday,09:00-11:00,3
Manchester United,Aston Villa,Anfield,Saturday,09:00-11:00,2
Liverpool,Aston Villa,Stamford Bridge,Monday,09:00-11:00,1
Manchester City,Tottenham Hotspur,Old Trafford,Tuesday,16:30-18:30,1
Manchester City,Aston Villa,Anfield,Friday,11:30-13:30,1
Manchester United,Newcastle United,Anfield,Monday,11:30-13:30,1
Chelsea,Newcastle United,Etihad Stadium,Saturday,19:00-21:00,2
Manchester City,Newcastle United,Stamford Bridge,Saturday,14:00-16:00,3
Liverpool,Arsenal,Anfield,Friday,19:00-21:00,3
Tottenham Hotspur,Aston Villa,Stamford Bridge,Monday,19:00-21:00,2
Newcastle United,Aston Villa,Stamford Bridge,Sunday,19:00-21:00,4
Manchester City,Arsenal,Anfield,Tuesday,16:30-18:30,3
Manchester City,Liverpool,Old Trafford,Wednesday,14:00-16:00,2
Chelsea,Arsenal,Anfield,Tuesday,09:00-11:00,1
Tottenham Hotspur,Newcastle United,Etihad Stadium,Wednesday,14:00-16:00,4
Manchester United,Tottenham Hotspur,Anfield,Wednesday,16:30-18:30,3
Arsenal,Newcastle United,Stamford Bridge,Sunday,16:30-18:30,1
Chelsea,Tottenham Hotspur,Etihad Stadium,Sunday,09:00-11:00,3
Manchester United,Manchester City,Old Trafford,Tuesday,16:30-18:30,4
Manchester City,Chelsea,Etihad Stadium,Saturday,16:30-18:30,4
Manchester United,Chelsea,Old Trafford,Tuesday,16:30-18:30,2
Chelsea,Aston Villa,Old Trafford,Wednesday,19:00-21:00,3
Liverpool,Tottenham Hotspur,Anfield,Saturday,09:00-11:00,4
Arsenal,Aston Villa,Anfield,Monday,16:30-18:30,4
Liverpool,Chelsea,Anfield,Wednesday,14:00-16:00,4
Arsenal,Tottenham Hotspur,Old Trafford,Friday,09:00-11:00,2
