Team1,Team2,Venue,Day,Time Slot,Week
Tottenham Hotspur,Newcastle United,Old Trafford,Friday,19:00-21:00,8
Newcastle United,Leeds United,Anfield,Friday,11:30-13:30,5
Manchester United,Chelsea,Old Trafford,Saturday,14:00-16:00,5
Chelsea,Newcastle United,Stamford Bridge,Monday,11:30-13:30,8
Manchester United,West Ham United,Anfield,Sunday,19:00-21:00,1
Tottenham Hotspur,Leeds United,Stamford Bridge,Thursday,16:30-18:30,4
Manchester City,West Ham United,Etihad Stadium,Friday,11:30-13:30,7
Chelsea,Aston Villa,Anfield,Tuesday,19:00-21:00,1
Manchester City,Tottenham Hotspur,Anfield,Wednesday,19:00-21:00,5
Aston Villa,West Ham United,Etihad Stadium,Friday,19:00-21:00,6
Manchester United,Newcastle United,Anfield,Thursday,19:00-21:00,3
Chelsea,Tottenham Hotspur,Old Trafford,Friday,11:30-13:30,6
Manchester United,Arsenal,Stamford Bridge,Friday,16:30-18:30,6
Manchester City,Newcastle United,Old Trafford,Thursday,11:30-13:30,1
Arsenal,Aston Villa,Anfield,Saturday,16:30-18:30,8
Manchester United,Leeds United,Stamford Bridge,Sunday,19:00-21:00,3
Liverpool,Newcastle United,Etihad Stadium,Wednesday,19:00-21:00,7
Manchester City,Arsenal,Stamford Bridge,Monday,19:00-21:00,7
Aston Villa,Leeds United,Etihad Stadium,Saturday,14:00-16:00,1
Manchester United,Manchester City,Etihad Stadium,Friday,19:00-21:00,2
Arsenal,Tottenham Hotspur,Stamford Bridge,Sunday,16:30-18:30,4
Arsenal,West Ham United,Old Trafford,Thursday,11:30-13:30,4
Liverpool,Aston Villa,Old Trafford,Friday,19:00-21:00,2
Manchester City,Liverpool,Old Trafford,Monday,09:00-11:00,1
Newcastle United,Aston Villa,Stamford Bridge,Friday,16:30-18:30,4
Liverpool,Leeds United,Etihad Stadium,Saturday,09:00-11:00,7
Newcastle United,West Ham United,Stamford Bridge,Wednesday,14:00-16:00,2
Tottenham Hotspur,Aston Villa,Stamford Bridge,Tuesday,11:30-13:30,3
Arsenal,Newcastle United,Etihad Stadium,Tuesday,11:30-13:30,6
Manchester United,Liverpool,Old Trafford,Friday,09:00-11:00,4
Leeds United,West Ham United,Etihad Stadium,Friday,11:30-13:30,8
Liverpool,West Ham United,Etihad Stadium,Sunday,11:30-13:30,5
Manchester City,Aston Villa,Anfield,Saturday,14:00-16:00,5
Manchester City,Leeds United,Anfield,Sunday,14:00-16:00,4
Chelsea,West Ham United,Stamford Bridge,Saturday,19:00-21:00,3
Manchester City,Chelsea,Etihad Stadium,Wednesday,19:00-21:00,4
Liverpool,Arsenal,Old Trafford,Wednesday,14:00-16:00,5
Chelsea,Leeds United,Old Trafford,Wednesday,14:00-16:00,7
Tottenham Hotspur,West Ham United,Anfield,Tuesday,11:30-13:30,7
Arsenal,Leeds United,Anfield,Saturday,09:00-11:00,2
Liverpool,Tottenham Hotspur,Etihad Stadium,Tuesday,16:30-18:30,8
Manchester United,Tottenham Hotspur,Anfield,Friday,14:00-16:00,7
Manchester United,Aston Villa,Etihad Stadium,Monday,14:00-16:00,8
Chelsea,Arsenal,Stamford Bridge,Friday,19:00-21:00,1
Liverpool,Chelsea,Old Trafford,Tuesday,19:00-21:00,2
